id,name,short_name,description,family_tags,function_tags,activation_tags,spatial_tags,profession_affinity_tags,world_tags,shape_type,shape_width,shape_height,shape_cells,rotatable,rarity,source_tags,base_values,requirements,effects,ui_keywords,debug_notes
azure_edge,Azure Edge,Azure Edge,A directional blade that rewards clean alignment.,weapon,"engine|burst",requires_direction,"rotatable|layout_sensitive",cultivator_affinity,xianxia_origin,rectangle,1,2,,true,common,"regular_reward|shop","power=4","required_direction=true","deal_damage/front_enemy/4/timed_trigger/requires_direction","direction|blade|alignment",Baseline Cultivator weapon.
spirit_talisman_strip,Spirit Talisman Strip,Talisman Strip,A support talisman that strengthens valid adjacent structure.,talisman,support,"requires_adjacent|on_support",adjacency_core,cultivator_affinity,xianxia_origin,rectangle,1,1,,false,common,"regular_reward|shop","support_value=2","adjacent_tags=weapon|furnace|relic","grant_support/adjacent_valid_item/2/continuous/requires_adjacent","support|adjacent|talisman",Simple adjacent support.
lesser_spirit_stone,Lesser Spirit Stone,Spirit Stone,A compact spiritual energy source.,spirit_stone,energy_source,start_of_battle,,cultivator_affinity,xianxia_origin,rectangle,1,1,,false,common,"regular_reward|shop","energy_value=2",,"grant_energy/linked_allies/2/start_of_battle","energy|spirit|source",Baseline xianxia energy provider.
copper_furnace,Copper Furnace,Furnace,A large setup engine that rewards surrounding support.,furnace,"setup|support","requires_adjacent|timed_trigger","occupies_large_space|layout_sensitive",cultivator_affinity,xianxia_origin,rectangle,2,2,,false,uncommon,"shop|elite_reward","support_value=3","adjacent_tags=talisman|spirit_stone","grant_support/adjacent_valid_item/3/continuous/requires_adjacent","setup|furnace|surround",Large-space Cultivator payoff anchor.
jade_guard_seal,Jade Guard Seal,Guard Seal,A defensive seal that shields nearby valid structure.,"talisman|defense",defense_layer,requires_adjacent,,cultivator_affinity,xianxia_origin,rectangle,1,1,,false,common,"regular_reward|shop","defense_value=3","adjacent_tags=weapon|relic|furnace","grant_shield/adjacent_valid_item/3/start_of_battle/requires_adjacent","shield|seal|adjacent",Flexible Cultivator defense tool.
meridian_needle,Meridian Needle,Needle,A precision tool that converts clean energy into linear payoff.,"weapon|utility",converter,"requires_energy|on_hit",line_based,cultivator_affinity,xianxia_origin,rectangle,1,2,,true,uncommon,elite_reward,"power=2|energy_value=1","required_energy=1","convert_value/self/2/on_hit/requires_energy","precision|line|energy",Converts good routing into payoff.
five_element_compass,Five-Element Compass,Compass,A directional relic that anchors formation-style support.,relic,"support|control",requires_direction,rotatable,cultivator_affinity,xianxia_origin,rectangle,2,2,,true,rare,"elite_reward|boss_faceup","support_value=3","required_direction=true|required_special_cell_state=formation_cell","grant_support/directionally_aligned_allies/3/continuous/requires_direction","formation|direction|relic",High-identity Cultivator relic.
golden_core_fragment,Golden Core Fragment,Core Fragment,A spiritual relic that bursts when a complete cycle is sustained.,relic,"burst|setup","requires_energy|on_cycle_end",layout_sensitive,cultivator_affinity,xianxia_origin,custom,2,2,"0:0|1:0|0:1",true,boss,boss_faceup,"power=6","required_energy=2|required_profession_state=clean_alignment","deal_damage/all_enemies/6/on_cycle_end/clean_alignment","burst|cycle|core",Boss-tier Cultivator payoff.
ember_wand,Ember Wand,Ember Wand,A charged wand that converts preparation into direct magical damage.,"focus|spell_tool","engine|burst",requires_charge,rotatable,mage_affinity,arcane_origin,rectangle,1,2,,true,common,"regular_reward|shop","power=4|charge_value=1","required_charge=1","deal_damage/front_enemy/4/timed_trigger/requires_charge","charge|spell|wand",Baseline Mage engine.
echo_sigil,Echo Sigil,Echo Sigil,A sigil that amplifies nearby spell structure.,spell_tool,"support|setup","requires_adjacent|on_support",adjacency_core,mage_affinity,arcane_origin,rectangle,1,1,,false,common,"regular_reward|shop","support_value=2","adjacent_tags=focus|spell_tool|relic","grant_support/adjacent_valid_item/2/continuous/requires_adjacent","sigil|support|spell",Basic Mage support.
